company_name,ticker,sector,isin,yf_ticker
Waaree Energies Ltd.,WAAREEENER,Capital Goods,INE377N01017,WAAREEENER.NS
Welspun Corp Ltd.,WELCORP,Capital Goods,INE191B01025,WELCORP.NS
Welspun Living Ltd.,WELSPUNLIV,Textiles,INE192B01031,WELSPUNLIV.NS
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables,INE716A01013,WHIRLPOOL.NS
Wipro Ltd.,WIPRO,Information Technology,INE075A01022,WIPRO.NS
Wockhardt Ltd.,WOCKPHARMA,Healthcare,INE049B01025,WOCKPHARMA.NS
Yes Bank Ltd.,YESBANK,Financial Services,INE528G01035,YESBANK.NS
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components,INE342J01019,ZFCVINDIA.NS
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication,INE256A01028,ZEEL.NS
Zen Technologies Ltd.,ZENTEC,Capital Goods,INE251B01027,ZENTEC.NS
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,INE520A01027,ZENSARTECH.NS
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,INE010B01027,ZYDUSLIFE.NS
Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods,INE768C01028,ZYDUSWELL.NS
eClerx Services Ltd.,ECLERX,Services,INE738I01010,ECLERX.NS
