company_name,ticker,sector,isin,market_cap_lakh,market_cap_source,market_cap_rank,market_cap_stratum,sampling_seed,market_cap_period,sector_benchmark,sector_benchmark_available
Indus Towers Ltd.,INDUSTOWER,Telecommunication,INE121J01017,9963911.508295998,"NSE 6M average market cap, Jul-Dec 2025",108,2,42,2025-07-01 to 2025-12-31,Nifty Telecommunications,True
Vodafone Idea Ltd.,IDEA,Telecommunication,INE669E01016,9399274.205551032,"NSE 6M average market cap, Jul-Dec 2025",116,2,42,2025-07-01 to 2025-12-31,Nifty Telecommunications,True
Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,INE016A01026,9096651.585224537,"NSE 6M average market cap, Jul-Dec 2025",122,2,42,2025-07-01 to 2025-12-31,Nifty FMCG,True
Info Edge (India) Ltd.,NAUKRI,Consumer Services,INE663F01032,8870924.4420127,"NSE 6M average market cap, Jul-Dec 2025",128,2,42,2025-07-01 to 2025-12-31,Nifty Consumer Services,True
NHPC Ltd.,NHPC,Power,INE848E01016,8300706.538861907,"NSE 6M average market cap, Jul-Dec 2025",134,2,42,2025-07-01 to 2025-12-31,Nifty Power,True
Rail Vikas Nigam Ltd.,RVNL,Construction,INE415G01027,7091103.716764286,"NSE 6M average market cap, Jul-Dec 2025",145,2,42,2025-07-01 to 2025-12-31,Nifty Construction,True
Prestige Estates Projects Ltd.,PRESTIGE,Realty,INE811K01011,7085912.280186857,"NSE 6M average market cap, Jul-Dec 2025",146,2,42,2025-07-01 to 2025-12-31,Nifty Realty,True
Lloyds Metals And Energy Ltd.,LLOYDSME,Metals & Mining,INE281B01032,7079922.286332578,"NSE 6M average market cap, Jul-Dec 2025",147,2,42,2025-07-01 to 2025-12-31,Nifty Metal,True
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels,INE399L01023,6797027.071923406,"NSE 6M average market cap, Jul-Dec 2025",152,2,42,2025-07-01 to 2025-12-31,Nifty Oil & Gas,True
Yes Bank Ltd.,YESBANK,Financial Services,INE528G01035,6634780.974064246,"NSE 6M average market cap, Jul-Dec 2025",155,2,42,2025-07-01 to 2025-12-31,Nifty Financial Services,True
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,INE406A01037,6568363.916630738,"NSE 6M average market cap, Jul-Dec 2025",159,2,42,2025-07-01 to 2025-12-31,Nifty Healthcare,True
Berger Paints India Ltd.,BERGEPAINT,Consumer Durables,INE463A01038,6419279.236344916,"NSE 6M average market cap, Jul-Dec 2025",162,2,42,2025-07-01 to 2025-12-31,Nifty Consumer Durables,True
Godrej Properties Ltd.,GODREJPROP,Realty,INE484J01027,6366898.046078338,"NSE 6M average market cap, Jul-Dec 2025",165,2,42,2025-07-01 to 2025-12-31,Nifty Realty,True
JSW Infrastructure Ltd.,JSWINFRA,Services,INE880J01026,6272296.346990968,"NSE 6M average market cap, Jul-Dec 2025",168,2,42,2025-07-01 to 2025-12-31,,False
Schaeffler India Ltd.,SCHAEFFLER,Automobile and Auto Components,INE513A01022,6260384.995813254,"NSE 6M average market cap, Jul-Dec 2025",169,2,42,2025-07-01 to 2025-12-31,Nifty Auto,True
Oberoi Realty Ltd.,OBEROIRLTY,Realty,INE093I01010,6113838.871481173,"NSE 6M average market cap, Jul-Dec 2025",174,2,42,2025-07-01 to 2025-12-31,Nifty Realty,True
Fertilisers and Chemicals Travancore Ltd.,FACT,Chemicals,INE188A01015,5960827.0244879965,"NSE 6M average market cap, Jul-Dec 2025",176,2,42,2025-07-01 to 2025-12-31,Nifty Chemicals,True
Bharat Dynamics Ltd.,BDL,Capital Goods,INE171Z01026,5720615.104166666,"NSE 6M average market cap, Jul-Dec 2025",182,2,42,2025-07-01 to 2025-12-31,Nifty Capital Goods,True
MphasiS Ltd.,MPHASIS,Information Technology,INE356A01018,5350560.976228716,"NSE 6M average market cap, Jul-Dec 2025",192,2,42,2025-07-01 to 2025-12-31,Nifty IT,True
Page Industries Ltd.,PAGEIND,Textiles,INE761H01022,4733867.892797619,"NSE 6M average market cap, Jul-Dec 2025",205,3,42,2025-07-01 to 2025-12-31,,False
ITC Hotels Ltd.,ITCHOTELS,Consumer Services,INE379A01028,4631366.131297172,"NSE 6M average market cap, Jul-Dec 2025",208,3,42,2025-07-01 to 2025-12-31,Nifty Consumer Services,True
Hexaware Technologies Ltd.,HEXT,Information Technology,INE093A01041,4563426.190033269,"NSE 6M average market cap, Jul-Dec 2025",211,3,42,2025-07-01 to 2025-12-31,Nifty IT,True
Voltas Ltd.,VOLTAS,Consumer Durables,INE226A01021,4533191.841872857,"NSE 6M average market cap, Jul-Dec 2025",213,3,42,2025-07-01 to 2025-12-31,Nifty Consumer Durables,True
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining,INE139A01034,4131882.192368096,"NSE 6M average market cap, Jul-Dec 2025",223,3,42,2025-07-01 to 2025-12-31,Nifty Metal,True
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,INE944F01028,4010802.5351050957,"NSE 6M average market cap, Jul-Dec 2025",227,3,42,2025-07-01 to 2025-12-31,Nifty FMCG,True
Godrej Industries Ltd.,GODREJIND,Diversified,INE233A01035,3768095.9244088507,"NSE 6M average market cap, Jul-Dec 2025",239,3,42,2025-07-01 to 2025-12-31,,False
CRISIL Ltd.,CRISIL,Financial Services,INE007A01025,3629059.10131923,"NSE 6M average market cap, Jul-Dec 2025",241,3,42,2025-07-01 to 2025-12-31,Nifty Financial Services,True
K.P.R. Mill Ltd.,KPRMILL,Textiles,INE930H01031,3617660.358452381,"NSE 6M average market cap, Jul-Dec 2025",242,3,42,2025-07-01 to 2025-12-31,,False
3M India Ltd.,3MINDIA,Diversified,INE470A01017,3578219.8477896824,"NSE 6M average market cap, Jul-Dec 2025",244,3,42,2025-07-01 to 2025-12-31,,False
ACC Ltd.,ACC,Construction Materials,INE012A01025,3469849.5847082245,"NSE 6M average market cap, Jul-Dec 2025",250,3,42,2025-07-01 to 2025-12-31,Nifty Cement,True
NLC India Ltd.,NLCINDIA,Power,INE589A01014,3442858.026381199,"NSE 6M average market cap, Jul-Dec 2025",252,3,42,2025-07-01 to 2025-12-31,Nifty Power,True
Delhivery Ltd.,DELHIVERY,Services,INE148O01028,3297505.7618136965,"NSE 6M average market cap, Jul-Dec 2025",257,3,42,2025-07-01 to 2025-12-31,,False
Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components,INE302A01020,3293621.8253968256,"NSE 6M average market cap, Jul-Dec 2025",259,3,42,2025-07-01 to 2025-12-31,Nifty Auto,True
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare,INE031B01049,3225170.873769573,"NSE 6M average market cap, Jul-Dec 2025",262,3,42,2025-07-01 to 2025-12-31,Nifty Healthcare,True
NBCC (India) Ltd.,NBCC,Construction,INE095N01031,3006520.714285714,"NSE 6M average market cap, Jul-Dec 2025",270,3,42,2025-07-01 to 2025-12-31,Nifty Construction,True
ITI Ltd.,ITI,Telecommunication,INE248A01017,3001315.0986693804,"NSE 6M average market cap, Jul-Dec 2025",271,3,42,2025-07-01 to 2025-12-31,Nifty Telecommunications,True
Aegis Vopak Terminals Ltd.,AEGISVOPAK,Oil Gas & Consumable Fuels,INE0INX01018,2863667.3171198894,"NSE 6M average market cap, Jul-Dec 2025",277,3,42,2025-07-01 to 2025-12-31,Nifty Oil & Gas,True
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,INE258G01013,2646474.6537460955,"NSE 6M average market cap, Jul-Dec 2025",284,3,42,2025-07-01 to 2025-12-31,Nifty Chemicals,True
Shyam Metalics and Energy Ltd.,SHYAMMETL,Capital Goods,INE810G01011,2491560.8268622505,"NSE 6M average market cap, Jul-Dec 2025",298,3,42,2025-07-01 to 2025-12-31,Nifty Capital Goods,True
Brigade Enterprises Ltd.,BRIGADE,Realty,INE791I01019,2342385.3558286508,"NSE 6M average market cap, Jul-Dec 2025",310,4,42,2025-07-01 to 2025-12-31,Nifty Realty,True
Himadri Speciality Chemical Ltd.,HSCL,Chemicals,INE019C01026,2318823.9212951385,"NSE 6M average market cap, Jul-Dec 2025",314,4,42,2025-07-01 to 2025-12-31,Nifty Chemicals,True
Welspun Corp Ltd.,WELCORP,Capital Goods,INE191B01025,2298309.107298393,"NSE 6M average market cap, Jul-Dec 2025",316,4,42,2025-07-01 to 2025-12-31,Nifty Capital Goods,True
HBL Engineering Ltd.,HBLENGINE,Capital Goods,INE292B01021,2251954.8408828336,"NSE 6M average market cap, Jul-Dec 2025",322,4,42,2025-07-01 to 2025-12-31,Nifty Capital Goods,True
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication,INE424H01027,2223179.9050664287,"NSE 6M average market cap, Jul-Dec 2025",323,4,42,2025-07-01 to 2025-12-31,Nifty Media,True
Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services,INE883F01010,2162709.9630138567,"NSE 6M average market cap, Jul-Dec 2025",328,4,42,2025-07-01 to 2025-12-31,Nifty Financial Services,True
Kalpataru Projects International Ltd.,KPIL,Construction,INE220B01022,2088464.2066446652,"NSE 6M average market cap, Jul-Dec 2025",334,4,42,2025-07-01 to 2025-12-31,Nifty Construction,True
eClerx Services Ltd.,ECLERX,Services,INE738I01010,2010134.974729524,"NSE 6M average market cap, Jul-Dec 2025",341,4,42,2025-07-01 to 2025-12-31,,False
Castrol India Ltd.,CASTROLIND,Oil Gas & Consumable Fuels,INE172A01027,1998794.1780364758,"NSE 6M average market cap, Jul-Dec 2025",342,4,42,2025-07-01 to 2025-12-31,Nifty Oil & Gas,True
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,INE499A01024,1979088.431281396,"NSE 6M average market cap, Jul-Dec 2025",345,4,42,2025-07-01 to 2025-12-31,,False
Devyani International Ltd.,DEVYANI,Consumer Services,INE872J01023,1954676.3159238969,"NSE 6M average market cap, Jul-Dec 2025",347,4,42,2025-07-01 to 2025-12-31,Nifty Consumer Services,True
Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,INE00E101023,1863989.1246367856,"NSE 6M average market cap, Jul-Dec 2025",354,4,42,2025-07-01 to 2025-12-31,Nifty FMCG,True
JSW Cement Ltd.,JSWCEMENT,Construction Materials,INE718I01012,1825593.5121155854,"NSE 6M average market cap, Jul-Dec 2025",360,4,42,2025-07-01 to 2025-12-31,Nifty Cement,True
Sai Life Sciences Ltd.,SAILIFE,Healthcare,INE570L01029,1806350.5021971818,"NSE 6M average market cap, Jul-Dec 2025",361,4,42,2025-07-01 to 2025-12-31,Nifty Healthcare,True
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,INE520A01027,1768683.1865161862,"NSE 6M average market cap, Jul-Dec 2025",365,4,42,2025-07-01 to 2025-12-31,Nifty IT,True
Five-Star Business Finance Ltd.,FIVESTAR,Financial Services,INE128S01021,1760273.481284151,"NSE 6M average market cap, Jul-Dec 2025",366,4,42,2025-07-01 to 2025-12-31,Nifty Financial Services,True
PG Electroplast Ltd.,PGEL,Consumer Durables,INE457L01029,1727174.2901838885,"NSE 6M average market cap, Jul-Dec 2025",370,4,42,2025-07-01 to 2025-12-31,Nifty Consumer Durables,True
ACME Solar Holdings Ltd.,ACMESOLAR,Power,INE622W01025,1626138.2092008924,"NSE 6M average market cap, Jul-Dec 2025",382,4,42,2025-07-01 to 2025-12-31,Nifty Power,True
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Metals & Mining,INE131A01031,1612379.880952381,"NSE 6M average market cap, Jul-Dec 2025",385,4,42,2025-07-01 to 2025-12-31,Nifty Metal,True
CIE Automotive India Ltd.,CIEINDIA,Automobile and Auto Components,INE536H01010,1576905.5281572018,"NSE 6M average market cap, Jul-Dec 2025",392,4,42,2025-07-01 to 2025-12-31,Nifty Auto,True
DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods,INE321T01012,1519588.301293095,"NSE 6M average market cap, Jul-Dec 2025",403,5,42,2025-07-01 to 2025-12-31,Nifty FMCG,True
JBM Auto Ltd.,JBMA,Automobile and Auto Components,INE927D01051,1506336.1375084762,"NSE 6M average market cap, Jul-Dec 2025",405,5,42,2025-07-01 to 2025-12-31,Nifty Auto,True
Trident Ltd.,TRIDENT,Textiles,INE064C01022,1466260.1338109518,"NSE 6M average market cap, Jul-Dec 2025",414,5,42,2025-07-01 to 2025-12-31,,False
Bata India Ltd.,BATAINDIA,Consumer Durables,INE176A01028,1440988.0447997618,"NSE 6M average market cap, Jul-Dec 2025",419,5,42,2025-07-01 to 2025-12-31,Nifty Consumer Durables,True
Supreme Petrochem Ltd.,SPLPETRO,Chemicals,INE663A01033,1413759.7281907382,"NSE 6M average market cap, Jul-Dec 2025",426,5,42,2025-07-01 to 2025-12-31,Nifty Chemicals,True
Aavas Financiers Ltd.,AAVAS,Financial Services,INE216P01012,1317121.7052528735,"NSE 6M average market cap, Jul-Dec 2025",438,5,42,2025-07-01 to 2025-12-31,Nifty Financial Services,True
Jaiprakash Power Ventures Ltd.,JPPOWER,Power,INE351F01018,1305687.2523511983,"NSE 6M average market cap, Jul-Dec 2025",441,5,42,2025-07-01 to 2025-12-31,Nifty Power,True
Gravita India Ltd.,GRAVITA,Metals & Mining,INE024L01027,1278550.407135643,"NSE 6M average market cap, Jul-Dec 2025",446,5,42,2025-07-01 to 2025-12-31,Nifty Metal,True
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels,INE002S01010,1276950.5090456193,"NSE 6M average market cap, Jul-Dec 2025",448,5,42,2025-07-01 to 2025-12-31,Nifty Oil & Gas,True
Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Services,INE970X01018,1268448.2080334246,"NSE 6M average market cap, Jul-Dec 2025",450,5,42,2025-07-01 to 2025-12-31,Nifty Consumer Services,True
Vardhman Textiles Ltd.,VTL,Textiles,INE825A01020,1267755.948640873,"NSE 6M average market cap, Jul-Dec 2025",452,5,42,2025-07-01 to 2025-12-31,,False
India Cements Ltd.,INDIACEM,Construction Materials,INE383A01012,1201687.8844173811,"NSE 6M average market cap, Jul-Dec 2025",464,5,42,2025-07-01 to 2025-12-31,Nifty Cement,True
Blue Jet Healthcare Ltd.,BLUEJET,Healthcare,INE0KBH01020,1196146.6702493057,"NSE 6M average market cap, Jul-Dec 2025",465,5,42,2025-07-01 to 2025-12-31,Nifty Healthcare,True
Engineers India Ltd.,ENGINERSIN,Construction,INE510A01028,1160297.6713708444,"NSE 6M average market cap, Jul-Dec 2025",473,5,42,2025-07-01 to 2025-12-31,Nifty Construction,True
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,INE517B01013,1102869.3741271903,"NSE 6M average market cap, Jul-Dec 2025",477,5,42,2025-07-01 to 2025-12-31,Nifty Telecommunications,True
Birlasoft Ltd.,BSOFT,Information Technology,INE836A01035,1089654.3956279368,"NSE 6M average market cap, Jul-Dec 2025",479,5,42,2025-07-01 to 2025-12-31,Nifty IT,True
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication,INE256A01028,1074369.176999,"NSE 6M average market cap, Jul-Dec 2025",482,5,42,2025-07-01 to 2025-12-31,Nifty Media,True
MMTC Ltd.,MMTC,Services,INE123F01029,973261.9047619047,"NSE 6M average market cap, Jul-Dec 2025",493,5,42,2025-07-01 to 2025-12-31,,False
Saregama India Ltd,SAREGAMA,Media Entertainment & Publication,INE979A01025,863604.4173483333,"NSE 6M average market cap, Jul-Dec 2025",499,5,42,2025-07-01 to 2025-12-31,Nifty Media,True
Prime Focus Ltd.,PFOCUS,Media Entertainment & Publication,INE367G01038,718195.5655929686,"NSE 6M average market cap, Jul-Dec 2025",500,5,42,2025-07-01 to 2025-12-31,Nifty Media,True
